"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Emilin1",2.65997262120071e-304,0.550121872390644,0.703,0.171,4.26792607071654e-300,"0"
"Igfbp4",1.056064089696e-303,1.091627969608,0.995,0.717,1.69445483191723e-299,"0"
"Adarb1",3.53256059583999e-301,0.830888792114481,0.568,0.046,5.66799347602526e-297,"0"
"Pea15a",5.34902987798017e-301,1.01860519941956,0.74,0.157,8.58251843921919e-297,"0"
"Bmp6",1.38527971198927e-300,0.764752739732952,0.484,0.016,2.22268129788678e-296,"0"
"C5ar2",1.78779691983804e-300,0.801020567390365,0.531,0.032,2.86852015788013e-296,"0"
"Nostrin",9.59453135766979e-300,0.922362467299943,0.611,0.068,1.53944255633812e-295,"0"
"Rfk",1.83098800889473e-299,1.00674200603382,0.679,0.115,2.93782026027159e-295,"0"
"Flnb",4.69859554008678e-298,0.871253940796952,0.614,0.07,7.53889654406924e-294,"0"
"Phldb2",9.54448350266009e-298,1.03223582642685,0.707,0.131,1.53141237800181e-293,"0"
"Gimap4",1.13350572594285e-297,0.918907360130045,0.769,0.175,1.8187099372753e-293,"0"
"Znrf1",2.75850004825836e-296,0.971846450393549,0.665,0.11,4.42601332743054e-292,"0"
"Clec1a",3.35358750063422e-295,0.823677501604927,0.518,0.03,5.3808311447676e-291,"0"
"Tanc1",6.99026523756553e-295,0.951646836047888,0.667,0.109,1.12158805736739e-290,"0"
"Inpp5a",1.32741373755351e-294,0.83601691063443,0.588,0.06,2.12983534190461e-290,"0"
"Akap12",3.2348061705911e-293,0.91156843846944,0.539,0.039,5.19024650071342e-289,"0"
"Fam174b",3.43044963844569e-292,0.775954696222411,0.514,0.029,5.50415644488611e-288,"0"
"Arhgap29",4.42437518386033e-290,0.918473907196205,0.683,0.117,7.0989099825039e-286,"0"
"Col4a1",1.35698225040773e-289,1.01553455004764,0.881,0.29,2.17727802077921e-285,"0"
"Pitpnc1",7.25525398311927e-289,1.11135683470919,0.736,0.174,1.16410550159149e-284,"0"
"Pros1",9.93169886248878e-289,0.983367859272835,0.703,0.137,1.59354108248632e-284,"0"
"Ccnd2",1.60941590646109e-288,1.25823216631528,0.89,0.373,2.58230782191681e-284,"0"
"Ldb2",1.64582828224944e-288,0.916391021810643,0.553,0.046,2.64073147886923e-284,"0"
"Arhgef7",6.95162197256744e-287,0.829705505117083,0.592,0.069,1.11538774549845e-282,"0"
"Hipk2",9.35791919228075e-285,1.00213979687879,0.684,0.128,1.50147813440145e-280,"0"
"Man2a1",1.03284377499475e-283,1.13854722309405,0.818,0.293,1.65719783697908e-279,"0"
"Rgl1",1.93208236079759e-280,1.04463471008358,0.729,0.167,3.10002614789973e-276,"0"
"Chst2",4.59988703061932e-280,0.804778812310243,0.472,0.02,7.3805187406287e-276,"0"
"Cpne2",5.37703434770461e-279,0.811311957988273,0.563,0.056,8.62745161089204e-275,"0"
"Myo7a",1.88234587369482e-278,0.895702696669659,0.597,0.076,3.02022395434334e-274,"0"
"Mgat1",2.54555946403764e-278,0.99415228542842,0.681,0.142,4.0843501600484e-274,"0"
"Ecscr",3.34677668509165e-275,0.831866935591489,0.6,0.076,5.36990319122955e-271,"0"
"Agpat5",7.88773207654039e-275,0.975361681391665,0.636,0.106,1.26558661168091e-270,"0"
"Slc29a1",1.09064762050413e-274,1.06958785741419,0.887,0.407,1.74994410709888e-270,"0"
"Tacc1",1.55643283444087e-274,1.02895487697876,0.841,0.364,2.49729648286038e-270,"0"
"Dab2ip",6.1285967172785e-274,0.802136010331467,0.604,0.079,9.83333343287335e-270,"0"
"Ago3",4.92927708550544e-273,0.900213623110673,0.605,0.085,7.90902508369347e-269,"0"
"Luzp1",6.69889827767469e-271,0.945942891861769,0.695,0.15,1.0748382286529e-266,"0"
"Wnt2",1.06345100369596e-270,1.05838362696283,0.498,0.033,1.70630713543017e-266,"0"
"Reep3",1.35183565087541e-270,1.06952473778477,0.753,0.231,2.16902030182959e-266,"0"
"Slc9a3r2",1.84150006137154e-270,1.03919358761046,0.705,0.146,2.95468684847064e-266,"0"
"Xiap",1.23473855592473e-267,1.07438431530404,0.774,0.248,1.98113801298123e-263,"0"
"Cav2",5.53358797935886e-267,0.714536488077762,0.494,0.033,8.87864191288129e-263,"0"
"Msrb3",8.2457846364703e-267,0.775271686049499,0.586,0.074,1.32303614492166e-262,"0"
"Gas6",8.38168115250368e-267,0.882925518022739,0.672,0.128,1.34484074091922e-262,"0"
"Fam222b",2.55327284108546e-266,0.758200071521918,0.547,0.057,4.09672627352161e-262,"0"
"Wwtr1",5.63878693242454e-263,0.814139355920433,0.596,0.081,9.04743363307517e-259,"0"
"Kit",1.04727764538585e-262,1.00631633825668,0.472,0.026,1.6803569820216e-258,"0"
"Cdc42ep2",2.29884700089389e-262,0.800653702788035,0.566,0.066,3.68850001293424e-258,"0"
"Nid1",1.22364766087418e-261,0.882961588794876,0.707,0.152,1.96334267187262e-257,"0"
"Unc45b",2.02516167636504e-261,0.647392902903859,0.458,0.022,3.24937190972771e-257,"0"
"Rapgef3",5.55241277345784e-261,0.678424306235803,0.455,0.022,8.9088462950131e-257,"0"
"Yes1",1.63525873483109e-260,0.777482843077684,0.538,0.054,2.62377264003648e-256,"0"
"Sbno2",3.21900070624279e-260,1.14422590843306,0.648,0.135,5.16488663316656e-256,"0"
"Gimap6",3.90089570196074e-260,0.801355738889002,0.773,0.217,6.25898715379601e-256,"0"
"Fzd4",4.84036544014485e-260,0.764503747349903,0.539,0.054,7.76636634871242e-256,"0"
"Lrrc8c",1.46976401493214e-259,0.818116838989452,0.6,0.089,2.35823636195863e-255,"0"
"Hdac7",3.22215215850568e-259,0.880369781658166,0.669,0.143,5.16994313832236e-255,"0"
"Ctnnb1",8.43331442871539e-259,0.963363329377084,0.858,0.441,1.35312530008738e-254,"0"
"Zbtb46",1.31926162002105e-257,0.670064488342443,0.465,0.026,2.11675526932377e-253,"0"
"F2r",6.74800108407035e-256,0.890554194643863,0.666,0.13,1.08271677393909e-251,"0"
"Tmcc3",6.44141237822792e-255,0.8856058721148,0.65,0.12,1.03352461608667e-250,"0"
"Dll4",1.37365086268429e-254,0.689087111259833,0.417,0.013,2.20402280917694e-250,"0"
"Tmcc2",1.14660997389642e-253,0.696371593460599,0.439,0.019,1.8397357031168e-249,"0"
"Ctsl",1.24255078070532e-253,1.12919204031878,0.972,0.692,1.99367272764169e-249,"0"
"Aplp2",3.15479072457206e-253,0.9755218907651,0.924,0.534,5.06186171757587e-249,"0"
"Col4a2",5.80792239539088e-253,0.673113622714081,0.67,0.157,9.31881148340466e-249,"0"
"Cdc42bpb",5.92496151159113e-252,0.779053465280515,0.608,0.1,9.50660074534797e-248,"0"
"Ralb",1.39512564935635e-251,0.866226849274862,0.656,0.135,2.23847910439226e-247,"0"
"Slfn5",3.6543008737823e-251,1.11227274895313,0.748,0.217,5.8633257519837e-247,"0"
"Nos3",3.75582574161489e-251,0.643806783630366,0.447,0.023,6.0262224024211e-247,"0"
"Arrb1",1.27528303851072e-248,0.812955758674224,0.6,0.097,2.04619163529044e-244,"0"
"Adgrg1",1.90980144577283e-247,0.627597350974593,0.42,0.016,3.06427641974251e-243,"0"
"Bst2",5.62715560040203e-247,0.956576899672628,0.965,0.69,9.02877116084505e-243,"0"
"Nova2",1.10468995372607e-244,0.598572860549272,0.42,0.017,1.77247503075349e-240,"0"
"Heg1",1.21383506646036e-243,0.885318451256522,0.659,0.134,1.94759836413565e-239,"0"
"Kcnb1",3.30954451716484e-243,0.814128340248294,0.48,0.039,5.31016417779099e-239,"0"
"Bcar1",2.29467943949416e-240,0.712874381022137,0.556,0.074,3.68181316066838e-236,"0"
"Mertk",1.64903632037263e-239,0.887327254403228,0.638,0.122,2.64587877603789e-235,"0"
"Clec1b",1.68396424664934e-239,0.839986575105058,0.613,0.115,2.70192063374887e-235,"0"
"Gja4",1.74633991206024e-239,0.945303377758618,0.515,0.056,2.80200238890066e-235,"0"
"Ddah2",4.36305069458612e-239,0.785259545793808,0.57,0.084,7.00051483946344e-235,"0"
"Golga7",7.85576592854573e-238,0.935354304330763,0.712,0.201,1.26045764323516e-233,"0"
"Car8",2.72134849432804e-236,0.921410133121244,0.662,0.141,4.36640365914934e-232,"0"
"Tcf7l1",3.72140828656536e-235,0.697713498673759,0.51,0.056,5.97099959579413e-231,"0"
"Amotl2",3.93476865198422e-235,0.758397019628008,0.547,0.074,6.31333630210867e-231,"0"
"Ccnd1",6.10249809064484e-235,1.16917131142053,0.715,0.194,9.79145818643965e-231,"0"
"Tmem64",1.24115476558667e-234,0.84486987608437,0.621,0.122,1.99143282138381e-230,"0"
"Zmiz1",4.78817447087129e-234,0.936333710209937,0.717,0.212,7.68262593851298e-230,"0"
"Enpep",9.16909967488109e-234,0.682063327987353,0.501,0.052,1.47118204283467e-229,"0"
"Peak1",3.85174334797278e-233,0.931739898246791,0.687,0.177,6.18012220182233e-229,"0"
"Add3",7.4704232408755e-233,0.966542623354057,0.708,0.201,1.19862940899847e-228,"0"
"Taok2",7.50340682694003e-233,0.771644402362977,0.594,0.105,1.20392162538253e-228,"0"
"Prkce",1.24110715645476e-231,0.721503798239169,0.531,0.069,1.99135643253166e-227,"0"
"Scarf1",2.77095985657148e-231,0.598836239851885,0.47,0.04,4.44600508986893e-227,"0"
"Cracr2b",3.25923700434319e-231,0.655804455324121,0.488,0.048,5.22944577346865e-227,"0"
"Lamp2",9.07355438486326e-231,0.942519078086086,0.966,0.739,1.45585180105131e-226,"0"
"Ppp1r16b",1.16904222527114e-230,0.732139257058439,0.549,0.079,1.87572825044754e-226,"0"
"Apbb2",5.45631303655101e-229,0.76566356107269,0.588,0.102,8.7546542671461e-225,"0"
