,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-XP-A8T6-01A,3.585973666,2.697916779,3.408022319,3.949133879,5.448231102,4.991394903,3.950603759,3.80999956,5.670036026,5.025210443,3.28298585,5.600445774,5.570217055,5.370678887,1.149485827,5.334369835,4.384945313,7.786190682,7.027507045,6.098501508,4.434706675,6.103203802,4.863432173,6.386700752,4.71676726,Tumor
TCGA-IG-A3YB-01A,3.959629122,3.195310779,4.466061316,3.416850987,4.626086476,4.514011677,4.182115103,4.326019419,4.418333955,4.970941728,2.664604073,6.136300022,5.593201667,5.372480008,0.010163239,1.291839339,0.110289991,6.915456079,6.197108753,5.832723868,3.749089699,5.871043547,4.80623611,6.369747587,4.086306904,Tumor
TCGA-VR-A8EQ-01A,3.155615082,2.261555167,3.515816082,4.097934604,5.852397634,4.641145414,4.353986631,3.885736291,4.236035242,4.545365453,3.209498558,5.471767727,5.255830312,5.458099909,0.115109318,6.548403123,3.294216739,7.502853312,6.883986379,5.902600613,3.929077814,6.217716555,5.364469108,6.969400322,3.013691025,Tumor
TCGA-LN-A9FQ-01A,3.351160072,2.698118531,4.270900919,4.096316084,5.500467102,5.323994606,4.973905345,4.504643513,6.011469406,5.297073305,3.16128264,6.874446437,5.931907561,6.084670639,1.366310402,5.642917011,4.63808248,8.273343466,7.119043837,6.80856315,4.2297157,7.06856507,5.813361852,6.800173994,4.642612536,Tumor
TCGA-IG-A50L-01A,4.07351129,3.120849672,4.52044264,3.967673334,5.574225139,5.657335095,4.649325498,4.74463311,5.745396865,5.361189496,3.798122887,7.017466617,6.093516913,5.721837789,0.323712353,6.785780258,4.002762238,8.571420922,7.428323246,6.709834252,4.686145532,6.962942349,5.438414865,6.86530364,3.970797628,Tumor
TCGA-LN-A4A3-01A,3.710724218,3.408361577,4.062145438,3.916680771,4.920289838,5.258663661,5.062723141,5.614068723,5.70870056,5.06655706,4.027047213,6.26085985,5.858402578,6.188334611,2.620030904,7.365071623,1.092992398,8.45636759,6.673038162,6.240973817,4.298523008,6.403102135,4.76747278,6.421149101,4.074049916,Tumor
TCGA-IC-A6RF-01A,3.68288075,3.225841156,3.943227322,4.035800632,6.146884409,5.258149581,4.105575762,4.257472168,5.242884067,4.795211578,4.379765415,6.195716676,6.254262307,5.462979901,3.311884646,7.216802528,0.394448096,7.511656674,6.644162825,6.395307093,4.369433282,6.651173781,5.177986079,6.37917801,3.608134689,Tumor
TCGA-2H-A9GO-01A,3.486468229,2.656515066,3.582456187,3.893814425,3.850353456,5.148268008,4.092842129,3.972089952,5.213068447,4.360204698,2.437496803,6.232395611,5.692492502,5.360682567,0.658745841,5.736898168,0.627407881,8.412129471,6.341460366,6.410649004,4.144629638,6.129655,4.805615504,6.00958154,2.472767472,Tumor
TCGA-L5-A4OS-01A,4.40866029,2.959061158,3.957034346,4.049738414,5.830306469,5.25555043,4.509431171,4.281942523,5.858599331,4.788318413,3.802114588,6.801554847,5.414294704,5.791213986,4.816773916,6.399871144,4.270487288,8.206933087,6.857809922,6.211810132,4.105538309,6.243750046,4.982046094,6.29917577,3.41172384,Tumor
TCGA-LN-A9FR-01A,4.161714248,3.046197755,4.788214503,4.23212651,5.526456424,5.698650234,5.148887002,4.315093207,5.91032141,5.050050468,3.704016933,6.040316177,6.126195367,6.377665046,3.106828982,7.082917251,4.544894253,8.288179146,7.397556523,6.54572863,4.524119247,6.685140862,5.609724507,6.983176587,4.63024633,Tumor
