"gene_short_name","p_value","morans_test_statistic","morans_I","status","q_value"
"Ppp1r13b",1.17909480089283e-12,7.01147480672779,0.106009510240889,"OK",5.01123337709514e-12
"2010107E04Rik",4.94177536701871e-12,6.80818821608313,0.104435393108818,"OK",2.02830368873576e-11
"Kif26a",3.14419639511846e-79,18.8097073699537,0.222853338458922,"OK",7.10433229016026e-78
"A530016L24Rik",4.04703432374644e-07,4.93308553889706,0.0703729911788177,"OK",1.19802681787573e-06
"Siva1",3.4551240619443e-10,6.16812963800021,0.0943310308101297,"OK",1.26444220489772e-09
"Akt1",8.43683739921519e-61,16.4076030600155,0.25491697690326,"OK",1.37533701184274e-59
"Ahnak2",1.58778137073091e-73,18.1001924636224,0.280622467605977,"OK",3.25244478678142e-72
"Brf1",3.49094069408609e-05,3.97690236656617,0.0598472613621625,"OK",8.74026451037829e-05
"Pacs2",0.000231731246072777,3.50103067645016,0.0524879612713518,"OK",0.000533588528155746
"Mta1",1.70024654940109e-12,6.96009253334314,0.106782241411311,"OK",7.18497238900005e-12
"Crip2",1.55410353646941e-180,28.6269074710441,0.445433387993083,"OK",1.1098295346677e-178
"Crip1",1.77759683206953e-123,23.6034144651774,0.367475468521111,"OK",7.09580191837395e-122
"Zfp386",2.04320834778919e-05,4.10253859101777,0.0618745542775923,"OK",5.21966976671844e-05
"Esyt2",3.05306256050164e-05,4.0086716361514,0.0605987985313969,"OK",7.69344090998535e-05
"Rapgef5",1.31416410057946e-09,5.9532726900137,0.0910999125870373,"OK",4.63815613643641e-09
"Selenop",7.34010824581249e-13,7.07747736117936,0.10817675846014,"OK",3.15578031402399e-12
"Ghr",4.39465582163888e-10,6.12997457732177,0.0938688617336683,"OK",1.59589460768076e-09
"AW549877",7.59607069338984e-12,6.74605274282784,0.103353134689392,"OK",3.08117844071634e-11
"Oxct1",7.58553800203917e-85,19.4834477630384,0.303174876697105,"OK",1.85971111205899e-83
"Plcxd3",5.14597059341483e-11,6.46259952296692,0.0968160241482583,"OK",1.9780856839082e-10
"C6",3.94496361192769e-50,14.8415602669366,0.230245403986058,"OK",5.23127713036545e-49
"C7",1.77935544700793e-17,8.42659428307769,0.123931802346006,"OK",9.49314790919106e-17
"Rpl37",6.52819258116607e-168,27.5942135911754,0.427700344479679,"OK",4.01703170369934e-166
"Ttc33",3.56989655686183e-05,3.97157861448856,0.059915902606387,"OK",8.93220019241803e-05
"Ptger4",2.47958329888937e-32,11.7798322540049,0.180405593018387,"OK",2.19955286593217e-31
"Dab2",3.468033855469e-81,19.0471630626258,0.295799023614777,"OK",8.03427843183652e-80
