gene,type
PLCB1,ENERGY
PLCB2,ENERGY
PLCB3,ENERGY
AGPAT1,ENERGY
RAP1A,ENERGY
AHCYL1,ENERGY
STK11,ENERGY
SYT5,ENERGY
TALDO1,ENERGY
TKT,ENERGY
VAMP2,ENERGY
MLXIPL,ENERGY
ADIPOR1,ENERGY
ADIPOR2,ENERGY
GNG2,ENERGY
ADRA2C,ENERGY
CACNA2D2,ENERGY
ARL2BP,ENERGY
CACNA1C,ENERGY
GLP1R,ENERGY
AKAP5,ENERGY
KCNS3,ENERGY
IQGAP1,ENERGY
KCNB1,ENERGY
KCNG2,ENERGY
GNB5,ENERGY
RAPGEF3,ENERGY
SNAP25,ENERGY
STXBP1,ENERGY
CACNA1D,ENERGY
ABCC8,ENERGY
ACACA,ENERGY
ITPR2,ENERGY
ITPR1,ENERGY
PPP2R5D,ENERGY
STX1A,ENERGY
RAPGEF4,ENERGY
KCNC2,ENERGY
HSD3B1,LIPID
HSD3B2,LIPID
AP2A1,LIPID
AP2A2,LIPID
AP2B1,LIPID
AP2M1,LIPID
A2M,LIPID
AP2S1,LIPID
PRKAA2,LIPID
PRKAB2,LIPID
PRKAG2,LIPID
ABCB11,LIPID
ABCA1,LIPID
ABCG5,LIPID
ABCG8,LIPID
DBI,LIPID
ACADL,LIPID
ACADM,LIPID
ACADS,LIPID
ACADVL,LIPID
ACHE,LIPID
ACLY,LIPID
SCD,LIPID
NDUFAB1,LIPID
AGPS,LIPID
PLIN2,LIPID
FDXR,LIPID
FDX1,LIPID
GLA,LIPID
AHR,LIPID
AKR1C1,LIPID
AKR1C2,LIPID
AKR1C3,LIPID
AKR1C4,LIPID
AKR1D1,LIPID
ALB,LIPID
AKR1B1,LIPID
ABCD1,LIPID
AMACR,LIPID
AGT,LIPID
ANGPTL3,LIPID
ANGPTL4,LIPID
APOA1,LIPID
APOA2,LIPID
APOA4,LIPID
APOB,LIPID
APOC1,LIPID
APOC2,LIPID
APOC3,LIPID
APOC4,LIPID
APOE,LIPID
APOF,LIPID
ACER3,LIPID
LPA,LIPID
ARF1,LIPID
ARF3,LIPID
ARNT2,LIPID
ARNT,LIPID
ARSA,LIPID
ARSB,LIPID
ARSD,LIPID
ARSE,LIPID
ARSF,LIPID
ASAH1,LIPID
SMPD1,LIPID
ACOT7,LIPID
CEL,LIPID
BDH1,LIPID
GLB1,LIPID
BHMT,LIPID
BMX,LIPID
CYP11A1,LIPID
CYP39A1,LIPID
ACOT12,LIPID
CRAT,LIPID
B4GALNT1,LIPID
ACOX1,LIPID
ACOX2,LIPID
ACOX3,LIPID
CAV1,LIPID
NFYB,LIPID
CREBBP,LIPID
CD36,LIPID
CDS1,LIPID
CDS2,LIPID
UGCG,LIPID
CETP,LIPID
ACOT9,LIPID
CCNC,LIPID
UGT8,LIPID
BCHE,LIPID
CIDEA,LIPID
CLOCK,LIPID
CPNE1,LIPID
CPNE3,LIPID
CPNE6,LIPID
CPNE7,LIPID
ACACB,LIPID
POMC,LIPID
CLPS,LIPID
COQ3,LIPID
COQ6,LIPID
COQ7,LIPID
CYP1A1,LIPID
CYP1A2,LIPID
CYP1B1,LIPID
CYP27A1,LIPID
CYP46A1,LIPID
CYP4B1,LIPID
CYP4A11,LIPID
CYP51A1,LIPID
CYP7A1,LIPID
CYP7B1,LIPID
CYP8B1,LIPID
CYP2C8,LIPID
CYP2C9,LIPID
CYP2C19,LIPID
CYP4F2,LIPID
CYP4F3,LIPID
CYP4F11,LIPID
CYP2J2,LIPID
CYP11B1,LIPID
CYP11B2,LIPID
CYP21A2,LIPID
CPT1A,LIPID
CPT2,LIPID
CYP17A1,LIPID
CPT1B,LIPID
CYP19A1,LIPID
MED17,LIPID
MED7,LIPID
SPTLC3,LIPID
FITM2,LIPID
CTGF,LIPID
PCYT1A,LIPID
PCYT1B,LIPID
MID1IP1,LIPID
ALDH7A1,LIPID
DAB1,LIPID
GNPAT,LIPID
MLYCD,LIPID
DECR1,LIPID
DGAT1,LIPID
ALDH3B1,LIPID
ALDH3B2,LIPID
HSD17B1,LIPID
HSD17B2,LIPID
HSD17B3,LIPID
HSD17B4,LIPID
HSD17B8,LIPID
DHCR7,LIPID
CBR1,LIPID
DHCR24,LIPID
HSD11B1,LIPID
HSD11B2,LIPID
EBP,LIPID
HADHA,LIPID
HADHB,LIPID
ECHS1,LIPID
EHHADH,LIPID
ETNK1,LIPID
ETNK2,LIPID
ELOVL1,LIPID
ELOVL2,LIPID
ELOVL3,LIPID
ELOVL4,LIPID
MVD,LIPID
TM7SF2,LIPID
SQLE,LIPID
LSS,LIPID
ESRRA,LIPID
FAAH,LIPID
FABP4,LIPID
FABP7,LIPID
FABP5,LIPID
FABP3,LIPID
FABP2,LIPID
FABP1,LIPID
FASN,LIPID
FDFT1,LIPID
FGF21,LIPID
ALOX5AP,LIPID
FDPS,LIPID
CIDEC,LIPID
FURIN,LIPID
KDSR,LIPID
FYN,LIPID
PIKFYVE,LIPID
G0S2,LIPID
GALC,LIPID
GGPS1,LIPID
GGT1,LIPID
GGT5,LIPID
GK2,LIPID
GBA,LIPID
CGA,LIPID
GLIPR1,LIPID
GK,LIPID
GLTP,LIPID
GPD1,LIPID
GPD2,LIPID
PNPLA4,LIPID
GPX1,LIPID
GPX2,LIPID
GPX4,LIPID
TECR,LIPID
HAO2,LIPID
HADH,LIPID
ALAS1,LIPID
HEXA,LIPID
HEXB,LIPID
HMGCS2,LIPID
HMGCS1,LIPID
HACL1,LIPID
HRASLS5,LIPID
HRASLS,LIPID
HRASLS2,LIPID
PLA2G16,LIPID
EPHX2,LIPID
IDH1,LIPID
IDI1,LIPID
IDI2,LIPID
FABP6,LIPID
KPNB1,LIPID
INSIG1,LIPID
PRKACA,LIPID
PRKACB,LIPID
PRKACG,LIPID
CSNK1G2,LIPID
CSNK2A2,LIPID
CSNK2B,LIPID
GPCPD1,LIPID
CHKB,LIPID
CHKA,LIPID
MVK,LIPID
PRKD1,LIPID
PRKD3,LIPID
PRKD2,LIPID
PTGR1,LIPID
LTC4S,LIPID
LCAT,LIPID
SPTLC1,LIPID
SPTLC2,LIPID
ACSL1,LIPID
ACSL3,LIPID
ACSL4,LIPID
ACSL5,LIPID
ACSL6,LIPID
LDLR,LIPID
VLDLR,LIPID
LIPA,LIPID
PNLIPRP1,LIPID
LIPG,LIPID
LIPF,LIPID
LIPC,LIPID
LPL,LIPID
PNLIP,LIPID
LIPE,LIPID
LTA4H,LIPID
ALOX15,LIPID
ALOX5,LIPID
ALOX12,LIPID
ALOX12B,LIPID
LPIN1,LIPID
LPIN2,LIPID
LPIN3,LIPID
LHB,LIPID
ALOX15B,LIPID
DMGDH,LIPID
ME1,LIPID
SLC25A20,LIPID
DPEP1,LIPID
ABCB4,LIPID
MED6,LIPID
STARD3NL,LIPID
MAPKAPK2,LIPID
STARD3,LIPID
ABCC1,LIPID
ABCC3,LIPID
MBTPS1,LIPID
MBTPS2,LIPID
MTM1,LIPID
MTTP,LIPID
MTMR1,LIPID
MTMR2,LIPID
MTMR3,LIPID
MTMR6,LIPID
MTMR7,LIPID
MUT,LIPID
NCOA2,LIPID
NEU1,LIPID
NEU2,LIPID
NEU3,LIPID
TRIB3,LIPID
SCP2,LIPID
NPAS2,LIPID
NPC1,LIPID
NPC2,LIPID
NR1D1,LIPID
NRF1,LIPID
NR1H2,LIPID
NSDHL,LIPID
SMPD2,LIPID
SLC10A2,LIPID
SLC10A1,LIPID
CROT,LIPID
OSBPL1A,LIPID
OSBPL2,LIPID
OSBPL3,LIPID
OSBPL5,LIPID
OSBPL6,LIPID
OSBPL7,LIPID
OSBPL8,LIPID
OSBPL9,LIPID
OSBPL10,LIPID
OSBP,LIPID
PIK3CA,LIPID
PIK3CB,LIPID
PIK3CD,LIPID
PIK3CG,LIPID
EP300,LIPID
PIK3R3,LIPID
PIK3R1,LIPID
PIK3R2,LIPID
PLA2G1B,LIPID
PLA2G3,LIPID
PLA2G4A,LIPID
PLA2G5,LIPID
PLA2G6,LIPID
PLA2G2A,LIPID
PLA2G2D,LIPID
PLA2G2E,LIPID
PLA2G2F,LIPID
PLA2G10,LIPID
PLA2G12A,LIPID
PHYH,LIPID
PCCA,LIPID
PCCB,LIPID
PCSK5,LIPID
STARD10,LIPID
PCYT2,LIPID
P4HB,LIPID
PEMT,LIPID
HPGDS,LIPID
HPGD,LIPID
PTGS1,LIPID
PTGS2,LIPID
PTGDS,LIPID
PI4KA,LIPID
PIP4K2A,LIPID
CDIPT,LIPID
PIK3C2B,LIPID
PIK3C2G,LIPID
AGPAT1,LIPID
AGPAT2,LIPID
AGPAT3,LIPID
AGPAT4,LIPID
AGPAT5,LIPID
PLD2,LIPID
PLIN1,LIPID
GPAM,LIPID
PLTP,LIPID
SLC25A17,LIPID
PMVK,LIPID
ACOT13,LIPID
PON1,LIPID
PON2,LIPID
PON3,LIPID
PPP1CA,LIPID
PPP1CB,LIPID
PPP1CC,LIPID
PPARA,LIPID
PPARD,LIPID
ALPI,LIPID
PCTP,LIPID
PITPNB,LIPID
PPT1,LIPID
PPT2,LIPID
CTSA,LIPID
PTDSS1,LIPID
ACOT8,LIPID
ACOT2,LIPID
PTEN,LIPID
PTGES,LIPID
PTGIS,LIPID
PTPN13,LIPID
RAB14,LIPID
RAB5A,LIPID
RELN,LIPID
RGL1,LIPID
RORA,LIPID
RXRA,LIPID
SLCO1A2,LIPID
SLCO1B1,LIPID
SLCO1B3,LIPID
SEC23A,LIPID
SEC24A,LIPID
SEC24B,LIPID
SEC24C,LIPID
SEC24D,LIPID
SRD5A1,LIPID
GM2A,LIPID
