"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CD99",3.55418843924513e-188,0.370355506872652,0.605,0.397,8.2339883571992e-184,"0"
"FYN",4.73275007060559e-187,0.344877621547425,0.634,0.408,1.0964362088572e-182,"0"
"S100A11",1.3093316544885e-186,-0.910260524843068,0.368,0.48,3.03332864395351e-182,"0"
"TAF7",1.60343270881602e-186,0.428898054793886,0.592,0.424,3.71467255651407e-182,"0"
"H2AFX",2.23923967022144e-186,0.460170030699801,0.488,0.315,5.187646544002e-182,"0"
"IL1B",6.01114548517217e-186,-1.84390687000559,0.006,0.11,1.39260207454984e-181,"0"
"SC5D",1.37527912229822e-185,-0.427576407435276,0.102,0.271,3.18610914262828e-181,"0"
"CYTOR",1.20991465191347e-183,0.405191426032536,0.461,0.25,2.80300927408793e-179,"0"
"FCGR2A",7.4290381290211e-183,-0.628982236957393,0.009,0.114,1.72108526335032e-178,"0"
"CSF3R",7.21717786849389e-182,-0.681863396700031,0.007,0.109,1.67200359679398e-177,"0"
"GPR171",1.8420712443092e-181,0.277593798851835,0.311,0.135,4.26752645169112e-177,"0"
"MBNL1",1.38364280530753e-180,0.360616314923477,0.842,0.753,3.20548528705595e-176,"0"
"LINC00861",1.84833088312365e-179,0.333238307503902,0.326,0.147,4.28202815693257e-175,"0"
"IKZF3",7.40136582479342e-179,0.382639614136564,0.553,0.339,1.71467442062989e-174,"0"
"HIST1H2BH",4.51318054691892e-177,0.291435427801174,0.177,0.052,1.04556853730471e-172,"0"
"IFI27",3.70966639503488e-176,-0.708154787513594,0.006,0.107,8.59418413737731e-172,"0"
"FCER1G",7.6281013013526e-174,-0.559976890206603,0.01,0.115,1.76720222848436e-169,"0"
"TC2N",1.07099395019616e-173,0.316967930830171,0.384,0.195,2.48117168441945e-169,"0"
"S100A8",3.35522275652176e-173,-1.82211858721982,0.013,0.113,7.77304456003397e-169,"0"
"PDLIM1",2.2323615338945e-172,-0.250792480104335,0.024,0.148,5.17171196557339e-168,"0"
"CYSTM1",4.0558167213288e-172,-0.510476604707401,0.045,0.175,9.39611059830243e-168,"0"
"HES1",1.10584666158129e-170,-0.504378125928641,0.011,0.12,2.56191496088536e-166,"0"
"AL645728.1",1.41212806164039e-170,0.296649408284677,0.24,0.092,3.2714770804023e-166,"0"
"MIAT",5.05050403410622e-169,0.278979202104822,0.269,0.11,1.17005026958139e-164,"0"
"MYL12A",6.57849190910512e-169,0.335848914813319,0.877,0.84,1.52403922058238e-164,"0"
"EIF4A2",1.88233218865564e-167,0.350749080525588,0.848,0.804,4.36079898145851e-163,"0"
"CD79B",9.12116550963518e-167,-0.340963265633333,0.043,0.174,2.11310041361718e-162,"0"
"RASD1",4.56788475970134e-165,0.331629669659032,0.187,0.06,1.05824186228001e-160,"0"
"CTSZ",8.01447307726275e-165,-0.427972766415403,0.07,0.217,1.85671297780946e-160,"0"
"SLC38A2",1.73788454197714e-164,0.434699520449525,0.754,0.643,4.02615711839844e-160,"0"
