,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,TRDMT1,DNMT3A,DNMT3B,NOP2,TET1,TET2,TET3,ALYREF,XPD
GSE76427_GSM2011344,5.507714825,3.345776768,4.182864389,4.074296831,4.140343894,1.410014368,4.389804495,1.127896968,3.031577069,1.291967922,6.161975891,1.559893045,1.831435485,2.786483821,6.381587702,4.354842782
GSE76427_GSM2011345,5.402957106,2.784358256,3.908942258,4.465546881,3.61328271,1.640231441,3.365363504,1.198687625,3.444823128,2.957220457,5.887616826,1.588832735,2.080784479,1.918011669,6.082424813,5.371462576
GSE76427_GSM2011346,5.692987527,2.534370022,3.526971655,5.032737185,4.682995977,1.537406973,4.796322562,1.367162805,3.325237162,2.963297801,3.903731422,1.688299891,2.994915023,3.102426676,5.796210625,3.245453719
GSE76427_GSM2011347,6.601608114,2.388541616,2.730710771,4.411440472,4.013185705,1.647658401,4.519563719,1.901565449,4.022209521,1.906164244,3.503842103,2.061458686,2.332204558,3.125804688,6.763740312,3.093850775
GSE76427_GSM2011348,5.464621714,2.866872073,3.187977936,4.755349265,4.737235405,1.204339116,5.609188408,1.72545784,2.449221156,2.689277605,3.332254169,1.241341606,1.798574154,2.322718167,6.191402946,2.28464119
GSE76427_GSM2011349,5.621385043,2.434231964,3.550498985,4.619018678,4.282406337,1.153870921,4.828464401,1.20563708,3.390050546,1.584668676,6.726033103,0.912036488,1.925867098,1.746635683,6.027401285,5.160018403
GSE76427_GSM2011350,5.565657306,3.064103722,3.093254145,4.259570035,5.407147707,1.23501088,3.532560788,1.151020022,2.832395172,2.265956907,5.824639969,1.137850711,1.814677858,1.655707151,5.439347682,5.299771795
GSE76427_GSM2011351,5.103194778,2.573445608,3.209050008,3.442631942,3.771212917,1.020686519,4.771439307,1.493990309,2.802608825,2.666338096,6.309394201,1.497837939,1.670610971,3.162682838,6.00055765,5.929659739
GSE76427_GSM2011352,5.497995582,2.925369579,2.629443311,4.266803017,3.892167046,2.436046287,5.392311842,1.545166099,3.840906904,2.083362715,3.503173393,1.495434174,1.935752947,2.968129064,6.947224377,2.773572368
GSE76427_GSM2011353,5.238103821,1.631141327,3.330221187,4.374439104,4.230447043,1.031270638,5.238859786,1.402057458,4.05070921,3.552141131,4.105279272,2.137963117,1.485563164,2.43018404,7.537941098,2.118676367
GSE76427_GSM2011354,4.914547574,2.727556435,3.439026009,4.881472282,4.820022555,0.848897141,3.506717914,1.338518614,4.085168272,2.405001426,5.032044254,0.96978217,1.725206709,3.07353428,6.749729414,5.045983076
GSE76427_GSM2011355,5.689723877,2.03053418,3.643955775,4.72762628,4.381997254,1.014974673,4.611169345,0.980870071,3.077696746,1.515531331,6.649799993,1.213817603,2.280250915,3.312256868,5.526944047,5.367788771
