"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PAG1",2.12393855102394e-08,0.318774363454472,0.521,0.328,0.000326746706689524,"0"
"RARRES1",2.33196572435761e-08,-0.274497736891851,0.021,0.124,0.000358749607035175,"0"
"CITED2",2.439001229205e-08,-0.466899390473564,0.175,0.335,0.000375215949100897,"0"
"NDUFB1",2.58256385942842e-08,0.28000706669071,0.752,0.693,0.000397301624134468,"0"
"C2",2.99434173013252e-08,-0.456806260340352,0.126,0.251,0.000460649531763587,"0"
"MMP12",3.00406353855764e-08,-2.67364136955604,0.087,0.207,0.000462145134771708,"0"
"SPCS2",3.08903750125626e-08,0.250409403749237,0.675,0.638,0.000475217529193263,"0"
"CAPZA1",3.75327188549201e-08,0.262951843925525,0.867,0.833,0.000577403346864091,"0"
"GPR155",3.80560529453007e-08,-0.258026222058437,0.056,0.185,0.000585454318510505,"0"
"PPT1",3.89295255371061e-08,0.318169373084484,0.776,0.729,0.00059889182086284,"0"
"MTDH",3.94341324185616e-08,0.291961046164189,0.86,0.8,0.000606654693127151,"0"
"REV3L",4.11914672642856e-08,0.394851383749947,0.455,0.281,0.00063368953239377,"0"
"IGKC",4.24360257449049e-08,-1.46216955230064,0.308,0.453,0.000652835820059617,"0"
"POMP",4.34449213478281e-08,0.301386820886721,0.916,0.866,0.000668356670014988,"0"
"LSM7",4.38158386179581e-08,0.300038867048531,0.458,0.283,0.000674062861298668,"0"
"GK",4.83587300780411e-08,0.279549902047235,0.857,0.734,0.000743950703520584,"0"
"MRC1",5.23762453854045e-08,0.476005360566296,0.64,0.507,0.000805756159009062,"0"
"CLK1",5.32206110428814e-08,0.282124108166563,0.801,0.782,0.000818745880283687,"0"
"SP110",5.5997284473598e-08,0.340984823384158,0.528,0.354,0.000861462224341831,"0"
"RHBDF2",5.7905973264184e-08,0.279085898714287,0.427,0.251,0.000890825492696207,"0"
"HAPLN3",5.80943395389174e-08,0.252145267861521,0.262,0.124,0.000893723319466706,"0"
"PTPN6",6.23967809140878e-08,0.316202125231941,0.524,0.383,0.000959912077582326,"0"
"FKBP15",6.35535945180595e-08,0.322995636692638,0.507,0.336,0.000977708498065828,"0"
"S100A12",6.43797144889128e-08,-0.585727631305242,0.126,0.202,0.000990417527697435,"0"
